feature,importance
"cat__DOMINANT_CRIME_TYPE_RAPE, FORCIBLE",8.490187923647226e-05
cat__DOMINANT_CRIME_TYPE_EXTORTION,8.462458829295917e-05
cat__DOMINANT_PREMISE_AUTOMATED TELLER MACHINE (ATM),8.167421505126722e-05
cat__DOMINANT_PREMISE_ELEMENTARY SCHOOL,7.95913896539045e-05
cat__DOMINANT_PREMISE_CLOTHING STORE,7.520829635746308e-05
cat__DOMINANT_PREMISE_OTHER/OUTSIDE,7.48609528590113e-05
cat__DOMINANT_PREMISE_DRUG STORE,7.43379482031285e-05
cat__DOMINANT_CRIME_TYPE_BATTERY POLICE (SIMPLE),7.116808461907785e-05
cat__DOMINANT_PREMISE_SIDEWALK,7.110579489241024e-05
cat__DOMINANT_PREMISE_DODGER STADIUM,6.749307013190016e-05
cat__DOMINANT_PREMISE_RESTAURANT/FAST FOOD,6.419146067645206e-05
"cat__DOMINANT_CRIME_TYPE_EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",6.306874590302408e-05
cat__DOMINANT_PREMISE_LIQUOR STORE,6.245883104982789e-05
cat__DOMINANT_CRIME_TYPE_TRESPASSING,6.0614867908241836e-05
"cat__DOMINANT_PREMISE_DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",6.032144244312591e-05
"cat__DOMINANT_CRIME_TYPE_BUNCO, PETTY THEFT",5.917653915224189e-05
cat__DOMINANT_PREMISE_HOTEL,5.890020945298204e-05
cat__DOMINANT_PREMISE_JUNIOR HIGH SCHOOL,5.023304090683564e-05
cat__DOMINANT_CRIME_TYPE_DISCHARGE FIREARMS/SHOTS FIRED,4.9524546460887183e-05
cat__DOMINANT_PREMISE_PUBLIC STORAGE,4.797848427789333e-05
cat__DOMINANT_PREMISE_HIGH SCHOOL,4.750128582124777e-05
cat__DOMINANT_CRIME_TYPE_VANDALISM - MISDEAMEANOR ($399 OR UNDER),4.7202918927535186e-05
cat__DOMINANT_CRIME_TYPE_ARSON,4.651724660401356e-05
cat__DOMINANT_PREMISE_BUS STOP,4.639180995619915e-05
cat__DOMINANT_CRIME_TYPE_CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,4.381548980194318e-05
cat__DOMINANT_PREMISE_BEACH,4.265084735031706e-05
cat__DOMINANT_PREMISE_CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),3.7865856255766646e-05
cat__DOMINANT_PREMISE_CELL PHONE STORE,3.6432120079475226e-05
cat__DOMINANT_CRIME_TYPE_BATTERY WITH SEXUAL CONTACT,3.357899530586312e-05
cat__DOMINANT_PREMISE_YARD (RESIDENTIAL/BUSINESS),3.2930901309478344e-05
cat__DOMINANT_CRIME_TYPE_OTHER ASSAULT,3.2557669535909394e-05
cat__DOMINANT_CRIME_TYPE_FAILURE TO YIELD,3.2513161214871224e-05
cat__DOMINANT_CRIME_TYPE_CONTEMPT OF COURT,3.2228236138213465e-05
cat__DOMINANT_CRIME_TYPE_SHOPLIFTING-GRAND THEFT ($950.01 & OVER),3.189715565504954e-05
cat__DOMINANT_PREMISE_MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,3.0231382044325082e-05
cat__DOMINANT_PREMISE_MTA BUS,3.0210724138801074e-05
cat__DOMINANT_PREMISE_SHOPPING MALL (COMMON AREA),3.010117158457331e-05
cat__DOMINANT_PREMISE_HOSPITAL,2.8417928568591324e-05
cat__DOMINANT_CRIME_TYPE_VIOLATION OF RESTRAINING ORDER,2.8409145395997097e-05
cat__DOMINANT_PREMISE_OFFICE BUILDING/OFFICE,2.8061322376046615e-05
"cat__DOMINANT_PREMISE_DISCOUNT STORE (99 CENT,DOLLAR,ETC.",2.6892848732285864e-05
cat__DOMINANT_PREMISE_LAUNDROMAT,2.5218907305766682e-05
cat__DOMINANT_PREMISE_AUTO REPAIR SHOP,2.475772239971199e-05
cat__DOMINANT_CRIME_TYPE_VEHICLE - ATTEMPT STOLEN,2.4546271118653856e-05
cat__DOMINANT_PREMISE_THE GROVE,2.3080966671292732e-05
cat__DOMINANT_PREMISE_OTHER STORE,2.244340190161035e-05
cat__DOMINANT_CRIME_TYPE_THEFT FROM MOTOR VEHICLE - ATTEMPT,2.2235295262399182e-05
"cat__DOMINANT_PREMISE_COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",2.205956983997562e-05
cat__DOMINANT_PREMISE_PARKING UNDERGROUND/BUILDING,2.1101134288285458e-05
cat__DOMINANT_PREMISE_MTA - RED LINE - NORTH HOLLYWOOD,2.0364273214831933e-05
cat__DOMINANT_PREMISE_MAIL BOX,1.9938327855346995e-05
cat__DOMINANT_PREMISE_BAR/COCKTAIL/NIGHTCLUB,1.8920492637640634e-05
cat__DOMINANT_PREMISE_MOTEL,1.813702653441552e-05
cat__DOMINANT_PREMISE_HEALTH SPA/GYM,1.7961363538285477e-05
cat__DOMINANT_CRIME_TYPE_CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1.74657370431491e-05
cat__DOMINANT_PREMISE_MEDICAL/DENTAL OFFICES,1.5832053726312987e-05
cat__DOMINANT_PREMISE_CYBERSPACE,1.5714449899089628e-05
cat__DOMINANT_CRIME_TYPE_CHILD NEGLECT (SEE 300 W.I.C.),1.4307092542270463e-05
cat__DOMINANT_PREMISE_CAR WASH,1.3139347684872162e-05
